E	parallel tempering	Wang-Landau	REWL	exact
-240.0	-34.793516448377886	-33.90297889709473	-33.95875358581543	-33.926312835636196
-236.0	-33.80626252016896	-32.85154342651367	-32.90450477600098	-32.86728865199177
-232.0	-32.69565566173878	-31.81277084350586	-31.856962203979492	-31.82245441690918
-228.0	-31.74986858665909	-30.78398895263672	-30.821422576904297	-30.79194961181298
-224.0	-30.638047760557015	-29.773258209228516	-29.814043045043945	-29.77591390125059
-220.0	-29.67424800726883	-28.778085708618164	-28.807273864746094	-28.774487095603945
-216.0	-28.71551491870764	-27.784440994262695	-27.8187255859375	-27.787809111096493
-212.0	-27.68617781069895	-26.815916061401367	-26.846113204956055	-26.81601992699558
-208.0	-26.81133593701111	-25.85464096069336	-25.881486892700195	-25.85925953991125
-204.0	-25.731722338830537	-24.91794776916504	-24.935409545898438	-24.917667915093233
-200.0	-24.977677663121085	-23.99292755126953	-24.003408432006836	-23.991384934628968
-196.0	-23.88213358577866	-23.08941650390625	-23.098119735717773	-23.080550342448447
-192.0	-23.00712745241242	-22.19118309020996	-22.19759178161621	-22.185303686044108
-188.0	-22.162044200454943	-21.30933952331543	-21.315567016601562	-21.30578425481798
-184.0	-21.381989741671305	-20.44000244140625	-20.443893432617188	-20.442131014973853
-180.0	-20.485779068994816	-19.593015670776367	-19.602935791015625	-19.594482540877067
-176.0	-19.693714353143605	-18.760190963745117	-18.765090942382812	-18.762976942812088
-172.0	-18.887460296759286	-17.943876266479492	-17.954181671142578	-17.94775179107603
-168.0	-17.975779716944658	-17.14885902404785	-17.153156280517578	-17.148944036355147
-164.0	-17.281665017705677	-16.362747192382812	-16.36937141418457	-16.36668992634293
-160.0	-16.53790380092937	-15.592916488647461	-15.607057571411133	-15.601124918568132
-156.0	-15.752543273421907	-14.842683792114258	-14.863235473632812	-14.852383589417798
-152.0	-15.048995003432196	-14.109039306640625	-14.130992889404297	-14.120599539351247
-148.0	-14.303824272701036	-13.401769638061523	-13.40717887878418	-13.405905294320178
-144.0	-13.54972990723661	-12.70042610168457	-12.70206069946289	-12.708432203426412
-140.0	-12.991324857521931	-12.017921447753906	-12.02083969116211	-12.028310332867818
-136.0	-12.318228248081937	-11.351482391357422	-11.361000061035156	-11.365668356245465
-132.0	-11.595884632542948	-10.70634651184082	-10.718961715698242	-10.720633441324082
-128.0	-11.042233677468971	-10.069934844970703	-10.088871002197266	-10.093331133365666
-124.0	-10.410742007248018	-9.458745956420898	-9.48414421081543	-9.483885235177524
-120.0	-9.79635375979592	-8.874500274658203	-8.892189025878906	-8.892417684044858
-116.0	-9.222883584956321	-8.304059982299805	-8.308486938476562	-8.319048425743517
-112.0	-8.675829566545417	-7.744623184204102	-7.750438690185547	-7.763895285859405
-108.0	-8.080943600775754	-7.203327178955078	-7.211936950683594	-7.2270738386674225
-104.0	-7.6578854945134935	-6.680696487426758	-6.693016052246094	-6.7086972738559325
-100.0	-7.18554183139031	-6.185474395751953	-6.187686920166016	-6.208876261409671
-96.0	-6.670965027603529	-5.705265045166016	-5.703054428100586	-5.7277188149968765
-92.0	-6.198611912543015	-5.247406005859375	-5.249362945556641	-5.265330154235755
-88.0	-5.716000530175052	-4.8014068603515625	-4.803493499755859	-4.82181256624375
-84.0	-5.302993442092429	-4.376298904418945	-4.377567291259766	-4.397265266903389
-80.0	-4.873895641352988	-3.972566604614258	-3.975078582763672	-3.9917842623040656
-76.0	-4.44281414455611	-3.586881637573242	-3.592416763305664	-3.605462210845644
-72.0	-4.141344453515785	-3.2259559631347656	-3.2252254486083984	-3.2383882865120768
-68.0	-3.721971823529998	-2.8823623657226562	-2.8821563720703125	-2.89064804384509
-64.0	-3.4771733772050766	-2.55462646484375	-2.5531558990478516	-2.5623232851634725
-60.0	-3.1826144874487454	-2.2413291931152344	-2.24090576171875	-2.2534919305902577
-56.0	-2.86227130602299	-1.9488677978515625	-1.9514141082763672	-1.9642278914585063
-52.0	-2.525193858120133	-1.6808032989501953	-1.6829547882080078	-1.6946009476725408
-48.0	-2.2394731179177825	-1.4356441497802734	-1.4326438903808594	-1.4446766296043165
-44.0	-2.1407212245957226	-1.2077007293701172	-1.2033023834228516	-1.2145161050999036
-40.0	-1.9598385973357608	-0.9970436096191406	-0.9914226531982422	-1.0041760721634887
-36.0	-1.568723231717513	-0.8072586059570312	-0.806427001953125	-0.8137086578722119
-32.0	-1.6461641730263636	-0.6371078491210938	-0.6371669769287109	-0.6431613240563934
-28.0	-1.1728299751606528	-0.48546409606933594	-0.4884624481201172	-0.49257678025594487
-24.0	-1.1862082583816118	-0.35162353515625	-0.3600177764892578	-0.36199290443312293
-20.0	-0.9617291210325902	-0.24454689025878906	-0.251129150390625	-0.25144267188767344
-16.0	-0.8860155429944143	-0.15306663513183594	-0.16123199462890625	-0.1609540927817079
-12.0	-0.8607789462399751	-0.08964157104492188	-0.08877754211425781	-0.09055015863555127
-8.0	-0.8734830259242017	-0.03668212890625	-0.04379081726074219	-0.040248798109871586
-4.0	-0.5636061651740647	-0.009389877319335938	-0.016649246215820312	-0.010062842335798905
0.0	-0.8304665840033749	0.0	0.0	0.0
4.0	0.0	-0.0065898895263671875	-0.009693145751953125	-0.010062842335798905
8.0	NaN	-0.035282135009765625	-0.03940391540527344	-0.040248798109871586
12.0	-0.945295588451927	-0.087066650390625	-0.09607505798339844	-0.09055015863555127
