E	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
28.0	-10.647446661645677	-22.794756076894807	-34.57170596596614	-46.11243140579405	-57.63836193709915	-69.16694419234541	-80.67282490118893	-92.21857567222358	-103.73636926859066	-115.28023122712648
32.0	-9.769098649497476	-21.90983245371931	-33.68901459787237	-45.22176229778969	-56.75259644080321	-68.28792898168426	-79.77433591809368	-91.33258841464895	-102.84989427167815	-114.40597500696231
36.0	-8.791638037085997	-20.926289866054553	-32.712321692024176	-44.23000581659258	-55.77202395576608	-67.28960855011704	-78.80189381019984	-90.34267760329847	-101.84320654793214	-113.42057990493325
40.0	-7.771910256435763	-19.833170979880514	-31.631854166927454	-43.15794261842396	-54.68621964289862	-66.20903603101682	-77.70659401885592	-89.23826272664328	-100.76542634630003	-112.33637540628857
44.0	-6.529418838262226	-18.65976527993081	-30.461607055367622	-42.0018363548652	-53.5272831003891	-65.04325392354528	-76.54511844115608	-88.07214403050509	-99.6041659911663	-111.184712720734
48.0	-5.231108616854587	-17.40956851534886	-29.21997290650049	-40.72326209129847	-52.24898531449856	-63.77123715332503	-75.2856215535315	-86.82537393720541	-98.35100830091697	-109.92482188239762
52.0	-3.784189633918261	-16.088218954193664	-27.895983320312013	-39.40121929679786	-50.923054947897846	-62.441047553201095	-73.97366779651476	-85.47541097208241	-97.05243736245916	-108.59757829179175
56.0	-2.5649493574615367	-14.695020701158446	-26.483613854033294	-37.98471974219818	-49.51971976148672	-61.033944382188565	-72.56633908555374	-84.07665113853581	-95.64022218817493	-107.19657106105359
60.0	-1.0986122886681098	-13.228327510848278	-25.028932548267164	-36.52513902663052	-48.05341605110519	-59.566771423651915	-71.12349365412052	-82.61473572425959	-94.1803864578527	-105.73658211805271
64.0	0.0	-11.714436716157325	-23.51805222509364	-35.02554294857382	-46.55080204070287	-58.061154197553975	-69.58979551896421	-81.08159948731233	-92.65031910260475	-104.20738584716835
68.0	0.0	-10.153350928549719	-21.950507518295467	-33.47023976447862	-44.975657113958526	-56.512318636605336	-68.01931656841077	-79.5200783548801	-91.07952474457572	-102.62723803503161
72.0	0.0	-8.57130251706327	-20.345445435318197	-31.86688455605363	-43.37884955992874	-54.910351410471904	-66.42667110851015	-77.93584956219344	-89.50435163505242	-101.04751528308326
76.0	0.0	-6.917705609835305	-18.716524047772854	-30.251396897225906	-41.787960760761536	-53.300526160916206	-64.80318914631992	-76.30749759118304	-87.8925297413532	-99.42941584376827
80.0	0.0	-5.236441962829949	-17.098798195942923	-28.623059170576894	-40.15908573845511	-51.66579190361142	-63.15524401239601	-74.69962938398452	-86.2657827707433	-97.80436623582591
84.0	0.0	-3.2188758248682006	-15.463774875053046	-26.96564950383619	-38.515321469773426	-50.023967792258766	-61.54115416664766	-73.05685577456464	-84.59371258682657	-96.15329260383581
88.0	0.0	-2.1972245773362196	-13.81288711975756	-25.345134704441826	-36.88952976628145	-48.39451378124553	-59.89161469586878	-71.41634026495475	-82.94793045515414	-94.50636451535513
92.0	0.0	0.0	-12.156272971977568	-23.650250044688953	-35.223545981535196	-46.70563072295374	-58.22033460560138	-69.76390566068599	-81.27745093353563	-92.83371362717098
96.0	0.0	0.0	-10.497035367873318	-22.019415991614302	-33.59268368559069	-45.06545360058382	-56.55701241581216	-68.10037978811745	-79.64188299171938	-91.19073528943169
100.0	0.0	0.0	-8.697846691109495	-20.225010310766237	-31.799143756777582	-43.2827330947123	-54.78089003997735	-66.30719559102472	-77.83960010153244	-89.3904954977543
104.0	0.0	0.0	-7.143617602704121	-18.651560676150048	-30.20360107944883	-41.697965346230795	-53.21109079120369	-64.72884458103056	-76.2673890586184	-87.82299079786907
108.0	0.0	0.0	-5.030437921392435	-16.559541807090127	-28.116503296049967	-39.619358222942424	-51.10085493840899	-62.65925077742398	-74.16501063060929	-85.71273357912169
112.0	0.0	0.0	-3.4339872044851463	-15.225649855425349	-26.764018870473997	-38.294892302744856	-49.77155826584477	-61.29432514484586	-72.82385204031351	-84.39569714503219
116.0	0.0	0.0	0.0	-12.316840017759265	-23.84125917644071	-35.37646458976865	-46.82451014200049	-58.383756057239225	-69.91396136210871	-81.49146597239134
120.0	0.0	0.0	0.0	-11.609434925350035	-23.13147869196479	-34.645223820918694	-46.16133420863369	-57.70864177646305	-69.22598745786676	-80.81753924329219
124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128.0	0.0	0.0	0.0	-7.400620577371135	-18.971239313119835	-30.455106650490052	-41.97396448411339	-53.54683669413468	-65.02842627879505	-76.70426959368372
