E	Sunny	MCX bridge	MCX native	exact
-508.0	-130.10236930847168	-130.031099319458	-130.15921783447266	-130.08898571958196
-504.0	-128.4206085205078	-128.34196662902832	-128.4699192047119	-128.3966119486418
-500.0	-126.73169898986816	-126.64942741394043	-126.76360893249512	-126.7080602843269
-496.0	-125.05886840820312	-124.9512939453125	-125.06977081298828	-125.02353655795238
-492.0	-123.38193893432617	-123.28932189941406	-123.38474464416504	-123.34325739317447
-488.0	-121.71339225769043	-121.62128067016602	-121.69206047058105	-121.66744727988342
-484.0	-120.04347229003906	-119.94730567932129	-120.01344299316406	-119.99633581209801
-480.0	-118.38490676879883	-118.28728485107422	-118.34208488464355	-118.33015516270251
-476.0	-116.7417163848877	-116.64338111877441	-116.69231033325195	-116.6691378460527
-472.0	-115.0858268737793	-114.99200630187988	-115.02547264099121	-115.01351479836248
-468.0	-113.4368839263916	-113.33347702026367	-113.38570594787598	-113.36351378683764
-464.0	-111.79576110839844	-111.69239234924316	-111.7316780090332	-111.71935814267414
-460.0	-110.15823364257812	-110.05371856689453	-110.08995246887207	-110.08126580071294
-456.0	-108.52423667907715	-108.4289436340332	-108.4436092376709	-108.44944861975915
-452.0	-106.90316963195801	-106.80058097839355	-106.81761169433594	-106.82411195204705
-448.0	-105.27962875366211	-105.18292427062988	-105.20278739929199	-105.20545442759831
-444.0	-103.66751289367676	-103.57320022583008	-103.58974838256836	-103.59366791873063
-440.0	-102.06422805786133	-101.9864559173584	-101.98927879333496	-101.98893765116506
-436.0	-100.4514102935791	-100.3933334350586	-100.39310073852539	-100.39144243054028
-432.0	-98.86867141723633	-98.82071113586426	-98.81057739257812	-98.80135495622619
-428.0	-97.28211784362793	-97.24349975585938	-97.2250747680664	-97.21884219778067
-424.0	-95.71148681640625	-95.67539596557617	-95.65403747558594	-95.64406581294088
-420.0	-94.1474552154541	-94.10421752929688	-94.09009170532227	-94.07718258948827
-416.0	-92.5886287689209	-92.55259132385254	-92.53927803039551	-92.51834489654868
-412.0	-91.0483455657959	-91.00551986694336	-90.9849681854248	-90.96770113380506
-408.0	-89.50253486633301	-89.4585952758789	-89.45271110534668	-89.42539616967923
-404.0	-87.97187995910645	-87.91248321533203	-87.92139434814453	-87.89157176176786
-400.0	-86.4415111541748	-86.38647270202637	-86.39865303039551	-86.36636695471185
-396.0	-84.92361450195312	-84.8731918334961	-84.88511848449707	-84.84991845225753
-392.0	-83.41303253173828	-83.35269546508789	-83.3753719329834	-83.34236096156539
-388.0	-81.90816497802734	-81.8598804473877	-81.8831787109375	-81.84382750886729
-384.0	-80.42404747009277	-80.37085342407227	-80.38946914672852	-80.35444972640039
-380.0	-78.94338798522949	-78.89386940002441	-78.91938209533691	-78.87435811118618
-376.0	-77.48063468933105	-77.41889381408691	-77.45694160461426	-77.40368225670386
-372.0	-76.02920341491699	-75.9490852355957	-76.00395202636719	-75.94255105885495
-368.0	-74.57925796508789	-74.496826171875	-74.5433464050293	-74.49109289785346
-364.0	-73.13401412963867	-73.05769348144531	-73.09509086608887	-73.04943579782221
-360.0	-71.70564270019531	-71.61544799804688	-71.6653003692627	-71.61770756594888
-356.0	-70.277587890625	-70.18733024597168	-70.25274085998535	-70.1960359130693
-352.0	-68.85788917541504	-68.7599868774414	-68.84416007995605	-68.78454855751326
-348.0	-67.45004463195801	-67.36037826538086	-67.44466018676758	-67.38337331398131
-344.0	-66.06717300415039	-65.96379852294922	-66.05752372741699	-65.99263816912602
-340.0	-64.66922378540039	-64.59588432312012	-64.67909622192383	-64.6124713454009
-336.0	-63.30069160461426	-63.222530364990234	-63.313232421875	-63.24300135461468
-332.0	-61.944149017333984	-61.85488700866699	-61.959190368652344	-61.884357042498976
-328.0	-60.59264373779297	-60.50512504577637	-60.61042404174805	-60.5366676254645
-324.0	-59.25646209716797	-59.160762786865234	-59.26859664916992	-59.20006272058984
-320.0	-57.929534912109375	-57.84451866149902	-57.942941665649414	-57.87467236975965
-316.0	-56.60959243774414	-56.52972412109375	-56.63105583190918	-56.56062705874825
-312.0	-55.31452178955078	-55.22168159484863	-55.32794380187988	-55.258057731931785
-308.0	-54.02741813659668	-53.93005561828613	-54.04357147216797	-53.96709580320794
-304.0	-52.74935340881348	-52.64835548400879	-52.76160430908203	-52.687873163606156
-300.0	-51.477020263671875	-51.38100051879883	-51.48834228515625	-51.42052218598772
-296.0	-50.21692085266113	-50.12658500671387	-50.22874641418457	-50.165175727156736
-292.0	-48.97689437866211	-48.87603569030762	-48.975826263427734	-48.92196712763777
-288.0	-47.744384765625	-47.64291000366211	-47.74816703796387	-47.69103020931638
-284.0	-46.5169620513916	-46.411176681518555	-46.53461837768555	-46.472499271088935
