t	x_single	dW_single	x_b0.0	dW_b0.0	x_b3.0	dW_b3.0	x_b6.0	dW_b6.0
8.2	-0.18700003936987517	-0.1082029994179318	-1.070330097863243	-0.25247556315205943	-1.7260284876681669	-0.46009256030035617	-1.0299173273090072	-0.3429911629568083
8.3	-0.32132218469917495	-0.28871514606107124	-1.3203514536543461	0.38870816816375353	-2.204094777625075	-0.012404069340160695	-1.4119883490057452	-0.42099602585286766
8.4	-0.6974948414513535	0.052872142626229024	-0.6385999450665295	0.3950742039266557	-2.001227302952039	-0.20593892933365987	-1.8661678035714704	-0.3107558848658092
8.5	-0.5529728561324805	-0.39391251388813736	-0.016020653223046133	0.46217564117651	-2.0923461995410912	0.24712800911660238	-2.1190262101788027	-0.5318625639619198
8.6	-1.0547519900483164	-0.20622642538674832	0.6391964720495601	0.440472931548187	-1.5336197974520211	-0.1159659068097586	-2.659290840434397	-0.21171921179900155
8.7	-1.2409249987451474	-0.0926473822659248	1.1981996184982862	-0.6708374806875796	-1.544258375890074	0.30018828262933794	-2.692777937132047	-0.07946084399974007
8.8	-1.247855683389468	0.42679261175291006	0.12967219331188318	0.05014280537453686	-0.9653021977411691	-0.2553802736986296	-2.5358747466808875	-0.38855369220473346
8.9	-0.519494215188921	0.3579475019277384	0.18761760939679942	0.26456233071453084	-1.2299342245942073	0.31403595805179685	-2.831785173238874	0.026289127395811573
9.0	0.03866941817374836	-0.43124014802744487	0.543003484646645	-0.6132007947078921	-0.6628268911851071	-0.7648799535307834	-2.5114282154088756	-0.5411778269115899
9.1	-0.5750631896238201	-0.021680599110285373	-0.37849374415188053	-0.28580254571004415	-1.6782478059371333	0.07358616906391147	-3.025626416341958	-0.29279504831920733
9.2	-0.5482178679635777	0.7949665559792175	-0.7448302060405934	-0.16024827760004268	-1.406356467050157	0.04497728379429655	-3.137138503036471	0.013829086563365567
9.3	0.6308564039316199	0.03923174838526481	-0.896972472965443	-0.443176966462164	-1.2021133356045435	-0.5352749159760416	-2.8038673709596806	-0.5686712676918974
9.4	0.6232528341805081	0.13977619262108446	-1.4340221021710575	-0.3945400661808699	-1.8388950478155262	-0.2936637109546588	-3.327703253165495	-0.6431971525415053
9.5	0.758600938064069	0.2074171578853976	-1.8485838044465166	0.23257176760081022	-2.0703087458428646	-0.028398343705800633	-3.9045510642528987	-0.47412192777176765
9.6	0.976073002008073	-0.06502603443654541	-1.3348192760357156	0.19624077821313046	-1.903439194076254	0.11768036056476516	-4.184605618300919	-0.4172734445545385
9.7	0.7865050019997633	0.2437177433211771	-0.9238109783924844	0.23530395018594086	-1.5466701127329818	-0.4962583571095843	-4.3562588209779936	-1.0016655967468144
9.8	1.0525234397955603	-0.383881588407299	-0.4986598429203152	0.36273659484444065	-2.0938184005250484	-0.3666864064537859	-5.337202010762079	-0.7126690244239756
9.9	0.40438054714507565	0.3451621582180622	0.06419315336975884	0.004045868279220155	-2.4030094496173406	-0.4023394879318989	-5.81134800950946	-1.3517370740808228
10.0	0.8520754978005197	0.3858117242769773	0.0634955598248312	0.14775486690196615	-2.731702465167144	0.07056664349061359	-7.141858111486139	0.29026044106201576
