E	Sunny	MCX bridge	MCX native	exact
-316.0	-59.359909946198115	-59.248675989013975	-59.30546619241227	-59.23736911027095
-312.0	-58.1841907074168	-58.06763275857469	-58.061926378508645	-57.93479978345448
-308.0	-56.74684525668005	-56.5661286353851	-56.872778350334386	-56.643837854730634
-304.0	-55.45315005195613	-55.459541430640286	-55.411125202513006	-55.36461521512885
-300.0	-54.19139326305327	-54.171293491731944	-54.02470045762391	-54.097264237510416
-296.0	-53.08162117177295	-52.82971916096949	-52.990829129221765	-52.84191777867943
-292.0	-51.85012680009555	-51.76393361208221	-51.727325873201835	-51.598709179160466
-288.0	-50.549765575492586	-50.462348259922976	-50.43297113932749	-50.367772260839075
-284.0	-49.35286242945318	-49.30221352748566	-49.3204488795825	-49.14924132261163
-280.0	-48.241426358062256	-47.952629765318136	-48.01676323273364	-47.94325113414686
-276.0	-46.95080766677444	-46.80860136119338	-46.868139937906676	-46.749936927825445
-272.0	-45.667984741111525	-45.65899708122976	-45.612857581668266	-45.569434388892944
-268.0	-44.68964612764563	-44.44134756697491	-44.53896610287319	-44.401879643834945
-264.0	-43.374019056490454	-43.27107479172662	-43.343996723819885	-43.24740924696238
-260.0	-42.19243875569833	-42.12227375085098	-42.271815929755235	-42.10616016517716
-256.0	-41.0714314956104	-41.09311207777057	-40.99672107734864	-40.978269760872905
-252.0	-40.11156991332706	-39.93190517849388	-39.97670561205854	-39.86387577291475
-248.0	-38.9549730529007	-38.85811735580097	-38.85532058537956	-38.76311629563145
-244.0	-37.85149484096934	-37.71855886523309	-37.74629005910293	-37.676129755745166
-240.0	-36.8573414155008	-36.64498178454079	-36.668652815760254	-36.60305488715889
-236.0	-35.70889771988465	-35.64316945136255	-35.611694217555794	-35.544030703514466
-232.0	-34.67733543818491	-34.49937866621832	-34.577215731420154	-34.499196468431876
-228.0	-33.61736758141075	-33.56032656309446	-33.51674442515224	-33.468691663335676
-224.0	-32.56722435912258	-32.5282974493021	-32.5009349843354	-32.452655952773284
-220.0	-31.666025199844682	-31.524083470642438	-31.55635279577524	-31.45122914712664
-216.0	-30.65309364546289	-30.60675607132964	-30.430470235550217	-30.464551162619188
-212.0	-29.67965650831053	-29.62885222256807	-29.522960526538725	-29.492761978518274
-208.0	-28.73953913920292	-28.677953408704127	-28.654975647127912	-28.536001591433944
-204.0	-27.780456216624827	-27.732481553911498	-27.696460958602245	-27.594409966615927
-200.0	-26.737942556462315	-26.75178142918844	-26.7090850771213	-26.668126986151663
-196.0	-25.904550196083676	-25.7715783964087	-25.81539004496659	-25.75729239397114
-192.0	-25.001681657345273	-24.918302644911364	-24.870565881019218	-24.862045737566802
-188.0	-24.192260633853095	-24.051043383683407	-24.048096584757843	-23.982526306340674
-184.0	-23.230182958138414	-23.2632352625796	-23.20339876554351	-23.118873066496548
-180.0	-22.418401110107027	-22.364557316822584	-22.27823581401799	-22.27122459239976
-176.0	-21.553086007484183	-21.543473912649233	-21.513576723969493	-21.439718994334783
-172.0	-20.76670540800575	-20.70458751970716	-20.640163010064953	-20.624493842598724
-168.0	-19.93850176266011	-19.92936344757925	-19.835042039172947	-19.82568608787784
-164.0	-19.20950387524232	-19.114270141890188	-19.07728399236089	-19.043431977865623
