native	replica_exchange
-1.7384382393836375	-1.691803781582045
-1.6354463392479153	-1.6377216544261497
-1.7381073251618773	-1.5606875362871606
-1.5778045954106545	1.5247438435914338
-1.6917503170852366	1.8627295988948844
-1.7104025853538938	1.7091677539133623
-1.8102692720195876	1.7370681942604884
-1.7918764746456932	1.6878616168567158
-1.9663617325221272	1.9195742029712308
-1.462814286674845	1.7043096102758168
-1.2958488077910038	1.791758379287402
-1.8496431342505288	1.5967978710728248
-1.6484602505485582	1.8210013241377618
-1.4827548721436357	1.8998413823590605
-1.6857355490245973	1.6953065168614418
-1.6826481220828027	-1.61558477161446
-1.757458713217186	-1.5591891672577602
-1.8969797532722579	-1.6452007271327798
-1.9294913222888042	-1.6583048607372588
-1.642211915738874	-1.9469794563184188
-1.689334428774671	-1.6555874275557758
-1.6307338998396752	1.0396234184629327
-1.3804653682551327	1.7539358197798762
-1.6025682477676175	2.034719351313449
-1.365700706965108	1.8267184450994947
-1.8222425182430113	1.845384099098077
-1.6109632187202345	1.7025786925452924
-1.907870234147327	1.7532904132219889
-2.0160483268978897	1.7406518218704325
-1.8092420109937644	-1.4218510368598913
-1.6766634782616723	-1.4528451885669198
-1.933992861407983	1.4050627066162402
-1.4876159337377957	1.470231629135974
-1.7207278525339837	1.589482259202925
-1.6933468091777637	1.7378098898530099
-1.7653728074057695	1.9830904010027532
-1.4658917055540086	1.2602376547424567
-1.7584930836741037	1.659855613990696
-1.8670149822584792	1.7362584431592345
-1.6344550451409334	1.7364043441046786
-1.3918570586474859	1.7040449546924767
-2.1540048019306384	1.905702568771819
-1.795820610006646	1.5825299490368758
-1.9691120382601202	1.5323092656510853
-2.195090718012004	1.6153084235488848
-1.6639892085627666	1.5767884936913539
-2.051416857616199	1.3576301340288963
-1.7807305244599325	-1.6676050187316387
-1.5736412156616237	-1.638685384628803
-1.8021357667696847	-2.015963046953409
-1.6374063331412703	-1.8788992735489178
-1.8857253513624193	-1.53057074420697
-1.7520309160147598	-1.4700148935806963
-2.1654466786272315	-1.7694177518966843
-1.4818006151991725	-2.0511267341597197
-1.8572433584171277	-1.4810097911573001
-1.9925011669452553	-1.9373981124096897
-1.7333674383616817	-1.6131111801875802
-1.4762173745882583	-1.8915048214470893
-1.8645863037982138	-1.769128294208531
-1.8415946693762724	-1.8171889226036688
-1.7511298335721515	-1.7718848063030337
-1.8008358781380949	-1.8874254841479288
-2.34211935625027	-1.8941780990545112
-1.9351096279896034	-1.3746444428814866
-1.7420178777110211	-1.9026286050779726
-1.7702442399618001	-1.7734544655139854
-1.8482779203013493	-1.5570278840521155
-1.6641931021539724	-1.73060061084941
-1.8711471027231028	-1.7574309717774823
-1.5274751798805386	-1.6722152531063341
-1.7085552158131834	-1.752340593422201
-1.926016521661988	-1.4204488952357732
-1.6518681189374638	-1.6003215419703078
-1.6541887349775168	-1.8759698918614234
-1.8228004109921596	-1.5384535314477952
-1.737182402392337	-1.9371993939896583
-1.8200484467137752	-1.6537671262020646
-2.1335907788772976	-2.1425803235901033
-1.876540233671033	-1.5241857641399852
-1.9418990465260635	-1.7105033336021622
-1.8715586081072397	-1.8537814714835
-1.843202255943969	-1.814944914600067
-1.9372289327703907	-2.1297578875622953
-1.8264659131812924	-2.171761846687916
-1.8888754263002472	-1.8116559937527714
-1.738893356877142	-1.6854080191385998
-1.981745241175492	-1.4733139052562363
-1.5815044941661518	-1.7021740873038695
